Type,Game Type,Title (Optional),Away,Home,Date,Time,Duration,Location (Optional),Address (Optional),Notes (Optional)
GAME,REGULAR,,Mid Ice Crisis,HatTrick Swayzes,23/03/2025,7:20 PM,1:30,North,,
GAME,REGULAR,,HatTrick Swayzes,Catfish Cowgirls,30/03/2025,11:13 PM,1:30,North,,
GAME,REGULAR,,HatTrick Swayzes,Your Mom,06/04/2025,4:51 PM,1:30,North,,
GAME,REGULAR,,HatTrick Swayzes,Puck Me,13/04/2025,7:00 PM,1:30,South,,
GAME,REGULAR,,Berryfield Bombers,HatTrick Swayzes,27/04/2025,9:02 PM,1:30,North,,
GAME,REGULAR,,Bones HC,HatTrick Swayzes,04/05/2025,10:09 PM,1:30,North,,
GAME,REGULAR,,The Fluffy Bunnies,HatTrick Swayzes,18/05/2025,4:45 PM,1:30,North,,
GAME,REGULAR,,Mid Ice Crisis,HatTrick Swayzes,01/06/2025,6:00 PM,1:30,North,,
GAME,REGULAR,,HatTrick Swayzes,Catfish Cowgirls,08/06/2025,8:15 PM,1:30,South,,
GAME,REGULAR,,HatTrick Swayzes,Your Mom,29/06/2025,9:45 PM,1:30,North,,
GAME,REGULAR,,HatTrick Swayzes,Puck Me,06/07/2025,3:15 PM,1:30,South,,
GAME,REGULAR,,HatTrick Swayzes,Berryfield Bombers,13/07/2025,5:45 PM,1:30,South,,
GAME,REGULAR,,Bones HC,HatTrick Swayzes,20/07/2025,8:15 PM,1:30,South,,
GAME,REGULAR,,The Fluffy Bunnies,HatTrick Swayzes,27/07/2025,9:45 PM,1:30,North,,
GAME,REGULAR,,Mid Ice Crisis,HatTrick Swayzes,03/08/2025,3:15 PM,1:30,South,,
